,enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow,net_interest_margin_(bank_only)_%
10,1,2004,5.721,1.93,3.579,5.851,3.629,54.22,7.57,-46.43,7435.76,12.44,11.66,0.99,27.262,4.059,3.213,6.317,9.156,0.0,0.631,0.0,0.369,30.367,0.22,1.114,0.0,33.95,78.95,4.76,-40.24,10.75,76.71,0.73,0.009,0.021,0.524,0.188,
11,1,2005,21.241,3.53,13.575,21.574,13.71,215.62,24.47,78.38,256.71,56.63,11.0,,29.014,11.794,9.533,13.079,16.331,0.0,0.645,0.0,0.355,41.317,1.05,1.424,0.0,21.86,59.61,4.91,-32.84,16.69,74.35,0.71,0.01,0.019,0.158,0.103,
12,1,2006,22.846,3.47,13.851,23.21,13.983,233.84,26.11,49.04,21.32,48.78,16.4,,28.983,12.7,10.298,13.865,7.947,0.0,0.58,0.0,0.42,38.982,0.96,1.345,0.0,20.29,68.77,5.79,-42.69,17.99,63.07,0.71,0.011,0.035,0.279,0.309,
13,1,2007,28.512,3.1,16.427,29.123,16.628,283.14,32.85,46.6,70.23,53.63,17.85,,33.168,17.931,14.22,19.22,18.244,0.0,0.573,0.0,0.427,38.315,0.91,1.155,0.0,21.45,92.88,6.84,-64.59,17.01,53.33,0.67,0.013,0.04,0.224,0.18,
14,1,2008,33.229,7.34,19.893,33.994,20.165,388.48,40.74,43.34,68.8,66.24,21.37,,35.2,22.211,16.321,23.534,22.397,0.0,0.616,0.0,0.384,42.905,0.82,1.219,0.0,19.76,78.8,6.42,-52.62,18.47,56.83,0.65,0.011,0.032,0.144,0.125,
15,1,2009,30.536,5.79,19.684,31.08,19.909,434.09,38.62,28.85,23.21,51.72,12.25,,40.14,27.363,19.194,29.074,20.851,0.0,0.666,0.0,0.334,41.166,0.83,1.026,0.0,24.6,79.02,6.85,-47.57,14.84,53.28,0.6,0.011,0.028,0.103,0.119,
16,1,2010,35.283,6.49,22.844,35.979,23.134,476.17,40.65,35.49,28.89,45.31,10.87,,39.378,28.187,21.484,29.762,25.257,0.0,0.636,0.0,0.364,41.87,1.18,1.063,0.0,24.82,81.31,6.95,-49.54,14.71,52.51,0.61,0.012,0.033,0.115,0.114,
17,1,2011,41.673,9.0,27.065,43.606,27.867,545.32,47.89,38.48,28.63,41.78,7.08,,40.479,31.215,23.947,33.274,27.785,0.0,0.658,0.0,0.342,45.75,0.96,1.13,0.0,18.34,75.48,5.17,-51.97,19.9,70.53,0.6,0.008,0.069,0.221,0.199,
18,1,2012,42.842,8.08,28.542,45.109,29.53,480.12,49.36,37.63,31.5,38.74,6.81,,43.871,35.296,26.665,37.723,26.487,0.0,0.671,0.0,0.329,46.959,0.94,1.07,0.06,19.01,74.39,3.26,-52.12,19.2,112.12,0.56,0.005,0.06,0.17,0.185,
19,1,2013,30.64,8.83,19.337,32.116,19.915,313.84,33.43,26.13,-28.89,25.73,5.91,0.8,37.624,28.67,21.671,33.379,26.09,0.137,0.597,0.082,0.403,33.574,1.02,0.892,0.287,25.66,74.54,4.37,-44.51,14.22,83.45,0.62,0.007,0.053,0.185,0.169,
20,1,2014,33.612,6.34,18.007,35.823,18.623,289.44,32.48,20.62,9.1,23.67,8.47,1.47,38.588,28.722,21.614,33.816,27.298,0.316,0.481,0.152,0.519,32.147,1.91,0.833,0.281,30.51,85.45,6.3,-48.64,11.96,57.94,0.61,0.011,0.054,0.187,0.164,
21,1,2015,46.248,8.96,20.45,50.104,21.171,339.94,38.74,20.38,31.92,26.29,8.07,1.47,40.06,30.477,22.846,36.157,29.856,0.539,0.411,0.222,0.589,35.859,1.19,0.895,0.215,26.79,85.57,5.81,-52.97,13.62,62.82,0.6,0.01,0.049,0.161,0.141,
22,1,2016,36.903,7.85,14.93,39.732,15.372,253.95,27.77,7.04,-57.11,19.62,9.84,1.92,39.076,27.835,21.187,34.007,24.809,0.679,0.399,0.271,0.601,27.536,0.69,0.705,0.262,27.59,101.11,6.22,-67.3,13.23,58.64,0.61,0.01,0.059,0.212,0.192,
23,1,2017,36.868,6.26,13.874,38.12,14.048,218.49,25.68,12.31,2.32,17.21,9.67,2.29,38.47,26.76,21.092,33.402,22.586,0.863,0.357,0.308,0.643,25.304,1.9,0.658,0.261,26.77,105.5,9.04,-69.69,13.63,40.37,0.62,0.015,0.054,0.203,0.194,
24,1,2018,49.364,4.93,16.067,49.364,16.067,202.81,29.05,16.07,-131.73,19.37,9.84,2.82,38.344,26.694,22.414,32.774,24.142,1.068,0.293,0.313,0.707,27.485,2.01,0.717,0.228,28.21,111.59,9.82,-73.56,12.94,37.17,0.62,0.017,0.05,0.188,0.172,
25,1,2019,55.917,5.08,15.692,55.917,15.692,176.19,28.73,6.95,7.01,20.29,7.72,3.21,37.818,24.572,21.238,31.464,22.637,1.194,0.267,0.319,0.733,27.943,0.04,0.739,0.253,32.35,115.2,9.09,-73.76,11.28,40.13,0.62,0.015,0.04,0.164,0.151,
26,1,2020,73.686,2.45,17.334,73.686,17.334,188.72,31.01,11.79,36.86,23.71,8.04,2.61,38.233,24.147,20.914,29.514,26.725,1.721,0.202,0.347,0.798,31.689,11.11,0.829,0.242,25.96,95.29,8.79,-60.54,14.06,41.52,0.62,0.015,0.027,0.11,0.091,
27,1,2021,147.443,4.0,28.058,147.443,28.058,293.55,50.38,24.69,86.52,35.63,8.85,2.23,41.779,29.782,25.882,33.661,25.41,1.977,0.18,0.355,0.82,45.292,1.19,1.084,0.152,21.15,83.17,9.12,-52.9,17.26,40.03,0.58,0.015,0.03,0.102,0.107,
28,1,2022,175.459,4.03,28.363,175.459,28.363,299.26,57.52,18.53,27.69,33.69,11.19,2.39,43.31,30.289,25.31,33.763,28.262,2.37,0.144,0.34,0.856,48.534,0.98,1.121,0.147,25.21,97.05,9.41,-62.43,14.48,38.79,0.57,0.015,0.027,0.09,0.088,
29,1,2023,171.95,4.01,27.503,171.95,27.503,274.18,57.96,15.91,16.85,32.55,11.66,3.4,44.131,29.821,25.306,33.706,25.982,1.788,0.176,0.315,0.824,47.962,-0.09,1.087,0.153,27.47,108.0,9.61,-70.92,13.29,37.98,0.56,0.015,0.029,0.096,0.099,
30,2,2010,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,,71.462,35.892,32.619,40.799,35.561,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.29,0.0,0.022,0.061,0.058,
31,2,2011,26.606,,19.768,71.853,37.15,71.08,27.84,0.0,0.0,22.62,0.0,,72.548,32.165,26.717,38.496,28.955,0.0,0.743,0.0,0.257,53.679,0.0,0.74,0.0,78.73,30.33,71.1,119.5,4.64,5.13,0.27,0.053,0.029,0.089,0.09,
32,2,2012,24.845,,16.888,78.589,31.557,75.1,23.67,0.0,0.0,24.96,0.0,0.0,73.406,24.61,19.68,28.319,33.771,0.004,0.611,0.002,0.389,62.992,0.0,0.858,0.0,75.22,30.44,67.2,111.98,4.85,5.43,0.27,0.049,0.02,0.083,0.057,
33,2,2013,68.977,4.3,22.674,,36.297,170.07,34.43,0.0,513.03,42.8,6.95,1.32,75.473,33.216,28.7,37.971,32.71,4.66,0.125,0.58,0.875,59.627,0.95,0.79,0.0,80.58,39.39,79.47,120.66,4.53,4.59,0.25,0.053,0.018,0.055,0.052,
34,2,2014,105.105,5.63,14.689,,20.856,166.97,26.47,0.0,219.37,35.54,7.9,1.97,75.62,31.943,21.969,34.742,30.74,3.278,0.154,0.504,0.846,50.56,6.64,0.669,0.582,79.18,59.32,89.28,109.14,4.61,4.09,0.24,0.06,0.026,0.082,0.078,
35,2,2015,56.914,0.95,6.256,,8.618,91.86,14.56,0.0,-59.94,19.62,7.43,2.89,77.826,18.853,8.888,17.956,14.714,8.598,0.063,0.544,0.937,54.783,1.14,0.704,1.051,69.39,96.24,93.77,66.92,5.26,3.89,0.22,0.057,0.031,0.163,0.172,
36,2,2016,180.904,7.48,12.77,,25.522,253.8,25.27,14.59,13.33,21.62,9.96,3.08,80.314,33.628,22.503,35.872,30.636,8.028,0.074,0.597,0.926,45.577,1.14,0.567,0.614,67.58,121.59,115.3,61.29,5.4,3.17,0.2,0.062,0.023,0.069,0.071,
37,2,2017,138.748,6.45,9.993,,28.375,321.61,18.14,5.36,11.38,16.1,9.01,3.06,77.253,37.21,23.219,39.473,25.595,7.947,0.07,0.557,0.93,33.246,0.77,0.43,0.59,67.54,94.0,98.98,72.52,5.4,3.69,0.23,0.062,0.019,0.05,0.068,
38,2,2018,109.093,3.61,7.757,,21.569,253.63,16.07,20.45,-15.28,12.76,9.06,3.1,75.043,34.987,18.816,36.781,33.424,7.331,0.072,0.528,0.928,30.937,15.21,0.412,0.713,63.68,74.66,79.02,68.04,5.73,4.62,0.25,0.054,0.019,0.054,0.053,
39,2,2019,,,8.74,,22.795,189.88,13.6,95.76,-10.75,14.37,9.61,3.47,76.436,20.783,17.363,25.372,39.047,-4.773,-0.142,0.679,1.142,38.475,-0.33,0.503,0.927,58.35,71.41,75.9,62.84,6.26,4.81,0.24,0.049,0.019,0.094,0.048,
40,2,2020,,,10.618,,20.389,349.36,17.66,51.86,-119.71,27.46,5.36,3.33,77.638,40.185,23.694,36.755,38.394,-8.165,-0.092,0.749,1.092,34.792,0.85,0.448,0.771,59.32,73.55,83.85,69.62,6.15,4.35,0.22,0.051,0.017,0.041,0.041,
41,2,2021,188.254,13.02,3.852,,10.324,142.56,5.99,-63.9,-4.69,19.44,4.92,3.21,66.407,27.812,10.078,26.904,36.656,6.581,0.087,0.572,0.913,25.381,1.07,0.382,1.409,56.78,44.22,60.76,73.32,6.43,6.01,0.34,0.056,0.017,0.063,0.045,
42,2,2022,81.042,5.22,7.77,,31.725,297.59,13.22,285.97,-212.1,12.73,5.06,2.98,68.956,33.895,20.539,42.588,39.13,4.977,0.105,0.523,0.895,26.087,0.77,0.378,0.739,61.05,53.96,67.35,74.44,5.98,5.42,0.31,0.057,0.014,0.041,0.035,
43,2,2023,72.476,4.37,8.296,,30.58,312.73,14.24,225.65,0.16,13.47,6.97,3.19,70.004,32.408,20.388,41.641,41.768,3.667,0.124,0.456,0.875,28.486,1.3,0.407,0.8,66.74,60.95,70.29,76.08,5.47,5.19,0.3,0.058,0.012,0.037,0.028,
44,3,1994,39.847,13.46,19.127,39.847,19.127,43.65,43.96,17.5,-59.69,23.15,10.61,0.0,56.175,22.883,16.641,28.641,21.967,0.313,0.478,0.15,0.522,64.569,0.51,1.149,0.41,56.01,61.2,89.37,84.18,6.52,4.08,0.44,0.107,0.0,0.0,0.0,
45,3,1995,39.27,13.54,18.71,39.27,18.71,46.39,44.48,16.65,17.57,24.74,10.38,0.0,56.38,23.419,16.565,28.994,24.161,0.262,0.475,0.124,0.525,63.682,0.98,1.13,0.402,55.9,59.84,89.5,85.56,6.53,4.08,0.44,0.107,0.0,0.0,0.0,
46,3,1996,39.987,12.01,18.83,39.987,18.83,46.73,44.66,16.12,24.63,24.85,7.9,0.0,56.795,23.8,16.866,29.457,19.632,0.338,0.467,0.158,0.533,63.406,1.09,1.116,0.392,55.26,60.2,89.83,84.89,6.61,4.06,0.43,0.106,0.0,0.0,0.0,
47,3,1997,40.837,11.04,18.327,45.695,19.245,46.35,42.2,15.3,5.56,21.43,10.67,0.0,63.264,23.763,17.088,29.992,13.012,0.481,0.433,0.208,0.567,67.85,1.34,1.072,0.414,54.22,75.73,105.96,84.45,6.73,3.44,0.37,0.107,0.086,0.363,0.398,
48,3,1998,42.349,9.45,17.934,53.814,19.712,47.24,41.04,14.61,16.86,18.99,10.6,0.0,63.638,23.835,17.487,29.967,12.2,0.544,0.414,0.225,0.586,65.262,1.31,1.026,0.425,53.59,81.22,106.3,78.67,6.81,3.43,0.36,0.106,0.102,0.427,0.455,
49,3,1999,43.421,7.51,18.439,56.316,20.424,48.56,40.7,15.08,32.26,19.65,8.62,0.0,63.075,24.914,18.656,31.199,12.288,0.539,0.434,0.234,0.566,62.339,1.28,0.988,0.419,54.52,81.31,106.36,79.57,6.69,3.43,0.37,0.108,0.099,0.399,0.447,
50,3,2000,37.11,10.98,17.64,47.693,19.719,46.45,34.52,12.7,3.11,18.65,10.07,0.0,60.925,23.899,18.56,30.182,13.154,0.301,0.513,0.154,0.487,57.902,4.57,0.95,0.465,55.56,80.96,103.07,77.67,6.57,3.54,0.39,0.11,0.091,0.382,0.41,
51,3,2001,34.828,8.91,18.727,43.3,20.928,48.36,32.48,13.17,-16.54,20.91,7.75,0.0,54.615,24.739,20.268,30.758,15.014,0.182,0.561,0.102,0.439,50.462,1.68,0.924,0.49,56.23,75.56,94.69,75.36,6.49,3.85,0.45,0.118,0.075,0.305,0.334,
52,3,2002,17.588,4.09,8.037,35.313,10.43,41.6,24.47,-8.85,-1.77,17.57,5.05,0.0,52.421,19.8,9.52,26.972,14.757,0.805,0.389,0.313,0.611,44.256,8.57,0.844,0.585,55.94,67.86,93.11,81.19,6.52,3.92,0.48,0.121,0.071,0.361,0.326,
53,3,2003,28.328,10.73,11.749,116.943,17.134,37.44,19.98,7.18,37.04,13.01,3.95,0.0,55.362,21.333,18.284,28.164,18.892,0.602,0.44,0.265,0.56,35.575,73.07,0.643,0.614,68.56,85.27,124.51,107.8,5.32,2.93,0.45,0.152,0.072,0.339,0.277,
54,3,2004,23.198,9.24,10.948,72.975,16.145,31.83,16.92,4.78,-7.68,11.11,4.89,0.0,55.011,17.791,15.933,24.315,14.485,0.458,0.502,0.23,0.498,37.799,0.63,0.687,0.706,65.91,64.32,121.59,123.18,5.54,3.0,0.45,0.15,0.061,0.342,0.296,
55,3,2005,23.621,9.72,11.808,80.876,18.276,41.7,20.37,6.96,51.99,14.4,5.99,0.0,54.857,21.226,16.442,27.775,16.135,0.473,0.498,0.236,0.502,39.396,0.54,0.718,0.475,65.0,43.81,110.08,131.27,5.62,3.32,0.45,0.136,0.066,0.309,0.289,
56,3,2006,23.465,11.67,11.646,85.116,18.183,46.27,20.06,29.89,2.33,14.02,5.44,0.0,52.363,19.605,15.096,25.689,17.759,0.46,0.495,0.228,0.505,40.397,1.11,0.771,0.497,59.42,35.79,88.54,112.17,6.14,4.12,0.48,0.116,0.054,0.276,0.233,
57,3,2007,12.06,4.73,5.257,129.29,8.691,41.85,17.65,-18.13,11.34,11.28,2.47,0.0,56.331,18.047,7.638,24.982,17.758,0.883,0.388,0.343,0.612,38.767,2.54,0.688,0.557,63.4,41.06,99.45,121.79,5.76,3.67,0.44,0.119,0.06,0.33,0.251,
58,3,2008,22.658,9.68,9.504,5526.622,16.322,40.4,16.7,14.47,-405.12,11.58,2.52,0.0,55.924,17.668,13.916,24.826,13.613,0.687,0.448,0.308,0.552,38.192,3.69,0.683,0.532,64.64,38.27,92.0,118.37,5.65,3.97,0.44,0.111,0.064,0.362,0.319,
59,3,2009,27.686,12.25,11.885,228.589,19.086,65.21,20.78,22.27,-38.38,15.26,3.79,4.47,57.287,19.613,16.529,27.851,19.327,0.655,0.412,0.27,0.587,41.191,0.72,0.719,0.497,61.15,37.2,82.88,106.83,5.97,4.4,0.43,0.097,0.044,0.222,0.184,
60,3,2010,28.49,16.28,12.117,201.448,19.088,75.77,21.98,25.89,5.52,15.28,4.69,3.72,57.063,20.269,18.677,31.864,20.108,0.72,0.436,0.314,0.563,37.023,1.38,0.649,0.353,77.62,36.36,83.46,124.72,4.7,4.37,0.43,0.098,0.035,0.175,0.15,
61,3,2011,20.32,13.03,8.189,,14.144,49.02,15.16,30.45,1.68,12.89,4.18,3.13,58.298,18.201,13.155,25.28,21.955,0.834,0.374,0.312,0.624,36.289,1.05,0.622,0.552,71.23,35.05,80.31,116.49,5.12,4.54,0.42,0.092,0.029,0.159,0.116,
62,3,2012,20.069,11.6,7.825,,14.098,14.59,3.62,9.52,81.22,3.5,3.32,2.09,53.207,7.61,22.086,21.671,34.937,0.631,0.405,0.256,0.593,18.85,-0.02,0.354,2.655,126.75,59.34,117.93,185.34,2.88,3.1,0.47,0.151,0.07,0.915,0.166,
63,3,2013,23.311,12.6,9.353,1080.433,15.397,0.95,0.2,7.7,-18.37,-3.61,3.36,1.78,53.286,7.139,31.302,15.129,39.47,0.766,0.397,0.305,0.601,15.922,-0.25,0.299,2.917,146.55,72.15,145.14,219.54,2.49,2.51,0.47,0.186,0.094,1.32,0.193,
64,3,2014,9.928,4.21,4.676,42.851,7.327,21.04,5.0,-28.47,-7.91,5.93,6.04,1.07,53.233,10.851,13.105,19.866,11.085,0.261,0.586,0.153,0.412,18.993,0.0,0.357,0.435,107.69,56.04,128.76,180.41,3.39,2.83,0.47,0.165,0.058,0.537,0.344,
65,3,2015,9.782,3.11,5.428,30.606,8.72,32.85,8.31,-25.57,-11.83,5.76,7.16,2.08,54.472,12.837,11.281,20.823,12.832,0.364,0.522,0.19,0.475,26.21,-0.7,0.481,0.788,68.25,41.38,105.64,132.51,5.35,3.46,0.46,0.132,0.053,0.414,0.293,
66,3,2016,20.699,6.63,10.728,78.478,17.349,52.19,10.66,-1.24,-26.51,7.41,9.25,1.94,57.133,14.051,21.676,23.612,9.096,0.424,0.514,0.218,0.483,28.278,3.78,0.495,0.575,62.64,44.75,109.37,127.26,5.83,3.34,0.43,0.128,0.054,0.387,0.374,
67,3,2017,6.707,2.44,2.982,19.544,4.211,29.84,4.72,-53.44,-862.96,7.67,9.96,2.78,56.39,14.511,6.714,15.331,9.984,1.071,0.39,0.418,0.607,25.042,1.52,0.444,1.082,58.34,45.33,101.0,114.01,6.26,3.61,0.44,0.121,0.054,0.37,0.35,
68,3,2018,1.855,0.58,0.74,,1.34,42.24,5.53,-50.0,-60.39,0.57,9.99,3.62,54.695,5.71,1.742,22.475,16.192,0.904,0.405,0.366,0.592,23.241,-1.03,0.425,5.638,56.62,52.65,88.76,92.73,6.45,4.11,0.45,0.11,0.041,0.726,0.204,
69,3,2019,7.711,1.85,3.302,,8.498,46.19,5.89,-8.56,-72.77,5.26,8.94,3.48,58.447,11.937,7.744,22.817,16.044,0.641,0.454,0.291,0.543,24.922,22.88,0.426,0.801,62.26,77.23,106.25,91.28,5.86,3.44,0.42,0.121,0.046,0.382,0.221,
70,3,2020,11.968,2.43,5.46,,14.007,58.86,8.24,-42.16,1427.17,7.54,6.16,3.48,58.529,14.205,11.557,24.326,14.099,0.608,0.458,0.278,0.539,27.651,1.94,0.472,0.611,60.68,85.89,111.89,86.68,6.02,3.26,0.41,0.127,0.051,0.361,0.267,
71,3,2021,14.075,2.38,6.402,,14.574,63.3,9.37,137.72,-112.0,8.92,4.9,2.83,56.649,15.479,12.988,25.546,16.54,0.599,0.452,0.271,0.545,27.92,1.32,0.493,0.579,62.43,87.56,113.47,88.34,5.85,3.22,0.43,0.135,0.063,0.406,0.276,
72,3,2022,20.619,2.98,9.572,,19.308,97.22,14.25,108.55,-217.05,13.65,5.49,2.76,56.966,19.559,16.416,28.513,20.077,0.531,0.476,0.253,0.521,33.217,0.98,0.583,0.457,54.66,82.25,100.12,72.53,6.68,3.65,0.43,0.118,0.044,0.224,0.179,
73,3,2023,19.129,3.68,9.267,424.686,17.244,97.83,14.65,41.48,24.26,13.41,7.52,3.04,56.15,19.156,15.882,27.79,17.877,0.483,0.493,0.238,0.504,32.761,-0.55,0.583,0.481,53.12,85.95,108.02,75.19,6.87,3.38,0.44,0.13,0.041,0.213,0.185,
74,4,2001,374.716,7.59,17.445,374.716,17.445,187.81,82.04,0.0,0.0,14.77,0.0,0.0,40.151,11.824,8.095,14.994,14.567,0.68,0.047,0.032,0.886,86.524,0.0,2.155,0.0,41.88,17.36,0.0,24.52,8.71,,0.6,0.0,0.029,0.245,0.166,
75,4,2002,67.95,1.92,4.244,88.536,4.307,145.1,55.34,0.0,-17.99,25.41,10.72,37.84,35.691,11.415,1.869,10.697,6.314,0.152,0.08,0.012,0.825,81.06,1.82,2.271,0.0,39.4,17.8,0.0,21.6,9.26,,0.64,0.0,0.02,0.176,0.241,
76,4,2003,78.452,3.3,8.347,109.035,8.604,239.05,61.62,0.0,29.61,35.17,10.18,33.19,32.17,11.434,3.719,13.966,9.948,0.072,0.129,0.009,0.728,72.204,1.89,2.244,0.0,37.42,20.55,0.0,16.87,9.75,,0.68,0.0,0.016,0.138,0.137,
77,4,2004,59.985,3.56,9.547,72.711,9.82,276.19,52.8,0.0,37.61,35.38,14.72,34.18,30.544,11.827,4.571,13.528,9.753,0.047,0.184,0.009,0.699,63.793,1.72,2.089,0.0,37.17,19.07,0.0,18.1,9.82,,0.69,0.0,0.019,0.158,0.161,
78,4,2005,59.36,4.8,11.083,73.025,11.485,302.32,52.89,0.0,20.94,33.49,11.83,0.0,29.789,11.828,5.502,13.478,9.18,0.044,0.189,0.008,0.701,60.011,2.12,2.015,0.0,36.46,20.24,0.0,16.22,10.01,,0.7,0.0,0.019,0.157,0.168,
79,4,2006,54.207,4.19,10.548,72.5,11.093,252.3,46.27,18.1,-116.04,29.36,11.88,0.0,27.397,9.837,5.34,11.596,12.957,0.027,0.199,0.005,0.709,54.122,-0.17,1.975,0.191,48.62,22.94,0.0,25.68,7.51,,0.73,0.0,0.017,0.171,0.115,
80,4,2007,62.824,4.14,12.281,89.236,13.036,328.04,67.09,13.63,32.28,32.7,12.77,0.0,28.162,11.742,5.795,13.814,10.564,0.013,0.192,0.002,0.739,59.685,0.59,2.119,0.176,57.87,21.8,0.0,36.07,6.31,,0.72,0.0,0.017,0.145,0.139,
81,4,2008,73.493,6.17,14.618,108.44,15.62,389.31,67.07,18.14,-107.86,40.17,9.02,131.09,28.386,11.987,6.683,14.308,9.808,0.003,0.205,0.001,0.742,62.09,1.42,2.187,0.158,59.22,20.16,0.0,39.06,6.16,,0.72,0.0,0.013,0.106,0.114,
82,4,2009,59.153,8.16,12.898,85.698,13.832,358.6,46.54,10.05,50.38,41.36,8.5,305.88,29.525,12.486,6.862,13.769,12.588,0.0,0.231,0.0,0.724,55.496,0.57,1.88,0.187,62.04,19.39,0.0,42.65,5.88,,0.7,0.0,0.011,0.084,0.077,
83,4,2010,62.799,7.78,14.194,88.931,15.203,430.52,47.69,12.51,-0.96,32.35,9.72,1154.31,31.397,12.663,7.71,14.739,12.356,0.001,0.221,0.0,0.745,57.796,1.02,1.841,0.419,46.6,18.46,0.0,28.14,7.83,,0.69,0.0,0.01,0.081,0.077,
84,4,2011,67.842,7.66,15.946,96.075,17.13,488.24,50.06,14.53,22.78,28.77,13.52,499.42,30.661,12.693,8.327,14.771,11.107,0.001,0.247,0.0,0.723,58.717,1.34,1.915,0.265,38.5,17.65,0.0,20.85,9.48,,0.69,0.0,0.015,0.116,0.117,
85,4,2012,63.641,6.76,15.764,89.953,16.995,500.95,47.85,11.01,-8.19,34.71,13.32,676.59,30.182,13.007,8.575,15.155,13.046,0.0,0.249,0.0,0.723,55.485,1.19,1.838,0.351,38.71,16.27,0.0,22.44,9.43,,0.7,0.0,0.012,0.096,0.087,
86,4,2013,72.082,7.78,19.574,114.23,21.754,558.42,50.44,21.13,58.5,48.8,12.55,109.51,30.875,13.38,10.798,16.274,9.652,0.005,0.294,0.002,0.678,55.971,2.56,1.813,0.351,38.51,16.21,0.0,22.3,9.48,,0.69,0.0,0.012,0.091,0.112,
