enterprise_id,years,pe_ratio,pe_ratio_without_nri,price-to-owner-earnings,pb_ratio,price-to-tangible-book,price-to-free-cash-flow,price-to-operating-cash-flow,ps_ratio,peg_ratio,ev-to-revenue,ev-to-ebitda,ev-to-ebit,earnings_yield_(joel_greenblatt)_%,forward_rate_of_return_(yacktman)_%,shiller_pe_ratio,cyclically_adjusted_pb_ratio,cyclically_adjusted_ps_ratio,cyclically_adjusted_price-to-fcf,dividend_yield_%,fcf_yield_%
26,2020,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2021,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2022,At Loss,At Loss,0,3.02,3.19,0,0,3.17,0,2.99,-17.24,-14.67,-6.82,0,0,0,0,0,0,-1.4
26,2023,At Loss,At Loss,0,1.35,1.39,0,0,2.02,0,0.73,-4.1,-3.14,-31.85,0,0,0,0,0,0,-14.98
